Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,,1,D,TRUE,TRUE,1918 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,1,D,TRUE,FALSE,727 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,1,D,TRUE,TRUE,235 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,1,D,TRUE,TRUE,306 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,1,D,TRUE,FALSE,461 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,1,D,TRUE,TRUE,442 ms,3371 ms,11054 ms, red star+black pole+brown block+grey cross+yellow disk+orange sphere+
,,2,D,TRUE,FALSE,3245 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,2,D,FALSE,TRUE,848 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,2,D,FALSE,TRUE,529 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,2,D,FALSE,TRUE,250 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,2,D,FALSE,FALSE,305 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,2,D,FALSE,TRUE,139 ms,6431 ms,15371 ms, green sphere+black pole+grey block+magenta disk+orange cube+red wedge+
,,3,ND,TRUE,TRUE,1238 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,3,ND,TRUE,TRUE,560 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,3,ND,FALSE,TRUE,429 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,3,ND,TRUE,TRUE,292 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,3,ND,TRUE,TRUE,305 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,3,ND,TRUE,TRUE,279 ms,3206 ms,9495 ms, red star+brown cone+yellow cube+magenta wedge+grey cross+orange pyramid+
,,4,ND,TRUE,TRUE,2213 ms,3230 ms,11137 ms, white cone+orange wedge+blue cross+brown star+black disk+yellow block+
