Participant,Technique,Trial,Condition,Prompt Number,Associated,Response,Response Time (ms),Prompt Time (ms),Travel Time (ms),Object Collection Time (ms),Objects In Box
,T,1,ND,1,0,0,765,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,1,ND,2,1,0,166,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,1,ND,3,1,0,27,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,1,ND,4,0,1,167,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,1,ND,5,1,1,55,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,1,ND,6,1,1,139,8465,11973,4998, red cylinder+orange wedge+yellow ball+grey cone+pink pyramid+brown block+
,T,2,D,1,1,1,626,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,2,D,2,0,0,125,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,2,D,3,1,1,95,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,2,D,4,0,0,96,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,2,D,5,1,1,97,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,2,D,6,1,0,111,8799,11472,3015, red star+black cross+pink wedge+yellow cone+orange cube+green pyramid+
,T,3,D,1,1,1,764,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,3,D,2,1,0,222,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,3,D,3,0,0,69,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,3,D,4,0,0,125,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,3,D,5,1,0,97,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,3,D,6,1,0,222,7548,11016,2964, brown star+orange cross+grey pyramid+pink cylinder+green cone+red wedge+
,T,4,D,1,1,0,2811,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,4,D,2,1,1,247,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,4,D,3,0,1,375,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,4,D,4,1,1,153,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,4,D,5,1,1,320,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,4,D,6,0,1,473,8868,15509,3518, green wedge+black disk+blue pyramid+yellow block+white cone+pink ball+
,T,5,ND,1,1,0,5192,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
,T,5,ND,2,0,1,723,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
,T,5,ND,3,0,1,988,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
,T,5,ND,4,1,1,403,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
,T,5,ND,5,1,0,208,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
,T,5,ND,6,1,1,208,7908,18434,3118, brown pyramid+black cylinder+yellow disk+blue star+red cube+white block+
